bodyPart,equipment,gifUrl,id,name,target,secondaryMuscles/0,secondaryMuscles/1,instructions/0,instructions/1,instructions/2,instructions/3,instructions/4,instructions/5,secondaryMuscles/2,instructions/6,instructions/7,secondaryMuscles/3,instructions/8,secondaryMuscles/4,instructions/9,secondaryMuscles/5,instructions/10
back,leverage machine,https://v2.exercisedb.io/image/rFSbsEA3x-wTKy,0017,assisted pull-up,lats,biceps,forearms,Adjust the machine to your desired weight and height settings.,"Grasp the handles with an overhand grip, slightly wider than shoulder-width apart.",Hang with your arms fully extended and your feet off the ground.,"Engage your back muscles and pull your body up towards the handles, keeping your elbows close to your body.",Continue pulling until your chin is above the handles.,"Pause for a moment at the top, then slowly lower your body back down to the starting position.",,Repeat for the desired number of repetitions.,,,,,,,
chest,assisted,https://v2.exercisedb.io/image/V4PlYYE0rlK7tY,1716,assisted seated pectoralis major stretch with stability ball,pectorals,shoulders,triceps,Sit on a stability ball with your feet flat on the ground and your back straight.,Hold a stability ball with both hands and extend your arms straight out in front of you.,"Slowly lower the stability ball towards your chest, feeling a stretch in your pectoral muscles.","Hold the stretch for a few seconds, then slowly return to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper legs,assisted,https://v2.exercisedb.io/image/OZz8IVRYN5EMiU,1712,assisted side lying adductor stretch,adductors,hamstrings,glutes,Lie on your side with your legs straight and stacked on top of each other.,Bend your bottom leg slightly for stability.,"Place your top foot on a stable surface, such as a bench or step.","Keeping your top leg straight, slowly lower it towards the ground, feeling a stretch in your inner thigh.",Hold the stretch for 20-30 seconds.,Return to the starting position and repeat on the other side.,,,,,,,,,
waist,assisted,https://v2.exercisedb.io/image/XlUw13FKk3bpyO,1758,assisted sit-up,abs,hip flexors,,Sit on the edge of a bench or have someone hold your feet down.,Lie flat on your back with your knees bent and feet flat on the ground.,Place your hands behind your head with your elbows pointing outwards.,"Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle.","Pause for a moment at the top, then slowly lower your upper body back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
back,leverage machine,https://v2.exercisedb.io/image/iD6I6vHUV4flxZ,1431,assisted standing chin-up,lats,biceps,forearms,Adjust the machine to your desired assistance level.,"Stand on the foot platform and grip the handles with an overhand grip, slightly wider than shoulder-width apart.","Keep your chest up and shoulders back, engage your core, and slightly bend your knees.",Pull your body up by flexing your elbows and driving your elbows down towards your sides.,Continue pulling until your chin is above the bar.,"Pause for a moment at the top, then slowly lower your body back down to the starting position.",,Repeat for the desired number of repetitions.,,,,,,,
back,leverage machine,https://v2.exercisedb.io/image/FBiUSf5E1HdC7s,1432,assisted standing pull-up,lats,biceps,forearms,Adjust the machine to your desired weight and height settings.,Stand facing the machine with your feet shoulder-width apart.,"Grasp the handles with an overhand grip, slightly wider than shoulder-width apart.","Engage your lats and biceps, and pull yourself up towards the handles.","Pause for a moment at the top, squeezing your back muscles.",Slowly lower yourself back down to the starting position.,,Repeat for the desired number of repetitions.,,,,,,,
upper arms,assisted,https://v2.exercisedb.io/image/qnqFpisTx9R-gB,0018,assisted standing triceps extension (with towel),triceps,shoulders,,Stand with your feet shoulder-width apart and hold a towel with both hands behind your head.,Keep your elbows close to your ears and your upper arms stationary.,"Slowly extend your forearms upward, squeezing your triceps at the top.","Pause for a moment, then slowly lower the towel back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,leverage machine,https://v2.exercisedb.io/image/Wr9I3UD5-miI3Y,0019,assisted triceps dip (kneeling),triceps,chest,shoulders,Adjust the machine to your desired weight and height.,"Kneel down on the pad facing the machine, with your hands gripping the handles.","Lower your body by bending your elbows, keeping your back straight and close to the machine.","Pause for a moment at the bottom, then push yourself back up to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
chest,leverage machine,https://v2.exercisedb.io/image/9RWiaQoGBGogXv,2364,assisted wide-grip chest dip (kneeling),pectorals,triceps,shoulders,Adjust the machine to your desired height and secure your knees on the pad.,Grasp the handles with a wide grip and keep your elbows slightly bent.,Lower your body by bending your elbows until your upper arms are parallel to the floor.,Push yourself back up to the starting position by extending your arms.,Repeat for the desired number of repetitions.,,,,,,,,,,
cardio,body weight,https://v2.exercisedb.io/image/GzvxMK5EkJ6H43,3220,astride jumps (male),cardiovascular system,quadriceps,hamstrings,Stand with your feet shoulder-width apart.,Bend your knees and lower your body into a squat position.,"Jump explosively upwards, extending your legs and arms.","While in the air, spread your legs apart and bring your arms out to the sides.","Land softly with your feet shoulder-width apart, bending your knees to absorb the impact.",Repeat for the desired number of repetitions.,calves,,,,,,,,
cardio,body weight,https://v2.exercisedb.io/image/akGmnMj1gqgJU3,3672,back and forth step,cardiovascular system,quadriceps,hamstrings,Stand with your feet shoulder-width apart.,"Step forward with your right foot, bending your knee and lowering your body into a lunge position.",Push off with your right foot and step back to the starting position.,"Repeat the movement with your left foot, alternating legs with each step.","Continue stepping back and forth, maintaining a steady pace.",Repeat for the desired duration or number of repetitions.,glutes,,,calves,,,,,
back,stability ball,https://v2.exercisedb.io/image/ukCeypFhLV0YC6,1314,back extension on exercise ball,spine,glutes,hamstrings,"Place the stability ball on the ground and lie face down on top of it, with your hips resting on the ball and your feet against a wall or other stable surface.",Position your hands behind your head or crossed over your chest.,"Engage your core and slowly lift your upper body off the ball, extending your back until your body forms a straight line from your head to your heels.","Pause for a moment at the top, then slowly lower your upper body back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
back,body weight,https://v2.exercisedb.io/image/tbNQwmPPyh4Eds,3297,back lever,upper back,biceps,forearms,"Start by hanging from a pull-up bar with an overhand grip, hands slightly wider than shoulder-width apart.",Engage your core and pull your shoulder blades down and back.,Bend your knees and tuck them towards your chest.,"Slowly lift your legs up, keeping them straight, until your body is parallel to the ground.","Hold this position for a few seconds, then slowly lower your legs back down to the starting position.",Repeat for the desired number of repetitions.,core,,,,,,,,
back,body weight,https://v2.exercisedb.io/image/RWvKeWqoM6lpAb,1405,back pec stretch,lats,shoulders,chest,Stand tall with your feet shoulder-width apart.,"Extend your arms straight out in front of you, parallel to the ground.","Cross your arms in front of your body, with your right arm over your left arm.",Interlock your fingers and rotate your palms away from your body.,"Slowly raise your arms up and away from your body, feeling a stretch in your back and chest.","Hold the stretch for 15-30 seconds, then release.",,Repeat on the opposite side.,,,,,,,
upper legs,body weight,https://v2.exercisedb.io/image/HHJUonCfKdoEpz,1473,backward jump,quads,hamstrings,glutes,Stand with your feet shoulder-width apart.,"Bend your knees slightly and jump backwards, pushing off with both feet.","Land softly on the balls of your feet, bending your knees to absorb the impact.",Repeat for the desired number of repetitions.,,,calves,,,,,,,,
upper legs,body weight,https://v2.exercisedb.io/image/WDnFXk4aWMCJJi,0020,balance board,quads,calves,hamstrings,Place the balance board on a flat surface.,"Step onto the balance board with one foot, ensuring it is centered.","Slowly shift your weight onto the foot on the balance board, keeping your core engaged.",Maintain your balance and stability as you hold the position for a desired amount of time.,Repeat the exercise with the other foot.,,glutes,,,,,,,,
upper arms,band,https://v2.exercisedb.io/image/y5DNwJsa0ZCGV3,0968,band alternating biceps curl,biceps,forearms,,"Stand with your feet shoulder-width apart and hold the band with an underhand grip, palms facing up.","Keep your elbows close to your sides and slowly curl one arm up towards your shoulder, squeezing your biceps at the top.",Lower the arm back down to the starting position and repeat with the other arm.,Continue alternating arms for the desired number of repetitions.,,,,,,,,,,,
waist,band,https://v2.exercisedb.io/image/3aZxWHvfEhzXVc,0969,band alternating v-up,abs,hip flexors,,"Lie flat on your back with your legs straight and your arms extended overhead, holding the band.","Engage your abs and lift your legs and upper body off the ground simultaneously, reaching your hands towards your toes.","As you lower your legs and upper body back down, switch the position of your legs, crossing one over the other.","Repeat the movement, alternating the position of your legs with each repetition.",Continue for the desired number of repetitions.,,,,,,,,,,
back,band,https://v2.exercisedb.io/image/dskU4kGOd518yz,0970,band assisted pull-up,lats,biceps,forearms,Attach the band to a pull-up bar or sturdy anchor point.,"Step onto the band and grip the bar with your palms facing away from you, hands slightly wider than shoulder-width apart.","Hang with your arms fully extended, keeping your core engaged and your shoulders down and back.",Pull your body up towards the bar by squeezing your shoulder blades together and driving your elbows down towards your hips.,"Continue pulling until your chin is above the bar, then slowly lower yourself back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
waist,band,https://v2.exercisedb.io/image/G-DQIUeMowP21I,0971,band assisted wheel rollerout,abs,lower back,,"Kneel on the floor and hold the handles of the band with both hands, palms facing down.",Place the band on the ground in front of you and position your hands shoulder-width apart.,"Engage your core and slowly roll the wheel forward, extending your body as far as you can while maintaining control.","Pause for a moment at the furthest point, then slowly roll the wheel back towards your knees to return to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
chest,band,https://v2.exercisedb.io/image/oyWqo0D8zSMbyD,1254,band bench press,pectorals,triceps,shoulders,Lie flat on a bench with your feet flat on the ground and your back pressed against the bench.,"Grasp the band handles with an overhand grip, slightly wider than shoulder-width apart.","Extend your arms fully, pushing the bands away from your chest.","Slowly lower the bands back down to your chest, keeping your elbows at a 90-degree angle.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper legs,band,https://v2.exercisedb.io/image/IqkGQertTRdlLS,0980,band bent-over hip extension,glutes,hamstrings,lower back,Attach the band to a sturdy anchor point at ankle height.,Stand facing away from the anchor point with your feet shoulder-width apart.,"Step back to create tension in the band, keeping your knees slightly bent.","Hinge at the hips and lean forward, maintaining a neutral spine.","Extend your right leg straight back, squeezing your glutes at the top.",Lower your right leg back down and repeat with the left leg.,,Continue alternating legs for the desired number of repetitions.,,,,,,,
waist,band,https://v2.exercisedb.io/image/TLPldSbVb1qVb6,0972,band bicycle crunch,abs,hip flexors,obliques,Lie flat on your back with your hands behind your head and your knees bent.,Lift your feet off the ground and bring your right knee towards your chest while simultaneously twisting your torso to bring your left elbow towards your right knee.,Straighten your right leg while bringing your left knee towards your chest and twisting your torso to bring your right elbow towards your left knee.,"Continue alternating the twisting motion, as if you are pedaling a bicycle, while keeping your core engaged throughout the movement.",Repeat for the desired number of repetitions.,,,,,,,,,,
back,band,https://v2.exercisedb.io/image/swRMjq6S04wu03,0974,band close-grip pulldown,lats,biceps,forearms,"Attach the band to a high anchor point, such as a pull-up bar or sturdy beam.","Stand facing the anchor point and grab the band with an underhand grip, hands shoulder-width apart.","Step back to create tension in the band, keeping your feet hip-width apart.","Engage your core and keep your back straight as you pull the band down towards your chest, squeezing your shoulder blades together.","Pause for a moment at the bottom of the movement, then slowly release the band back to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
upper arms,band,https://v2.exercisedb.io/image/bepXYwVrQpSP7W,0975,band close-grip push-up,triceps,chest,shoulders,"Place a band around your upper arms, just above the elbows.",Assume a push-up position with your hands directly under your shoulders and your body in a straight line from head to heels.,"Bend your elbows and lower your chest towards the ground, keeping your elbows close to your sides.",Push through your palms to extend your arms and return to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,band,https://v2.exercisedb.io/image/-FDJYdjMlHuHvl,0976,band concentration curl,biceps,forearms,,Sit on a bench or chair with your legs spread apart and your feet flat on the ground.,Hold one end of the band in your hand and step on the other end with your foot on the same side.,"Lean forward slightly and rest your elbow on the inside of your thigh, just above the knee.","With your palm facing up, slowly curl your hand towards your shoulder, keeping your upper arm stationary.","Pause for a moment at the top, then slowly lower your hand back down to the starting position.","Repeat for the desired number of repetitions, then switch sides.",,,,,,,,,
back,band,https://v2.exercisedb.io/image/5GaQGExwrKb3Fc,3117,band fixed back close grip pulldown,lats,biceps,forearms,"Attach the band to a fixed point above you, such as a pull-up bar or sturdy beam.","Sit down on a bench or chair facing the band, with your feet flat on the ground and your knees bent.","Grasp the band with a close grip, palms facing towards you.",Keep your back straight and engage your core.,"Pull the band down towards your chest, squeezing your shoulder blades together.","Pause for a moment at the bottom of the movement, feeling the contraction in your lats.",,"Slowly release the band back to the starting position, maintaining control throughout the movement.",Repeat for the desired number of repetitions.,,,,,,
back,band,https://v2.exercisedb.io/image/GMidnBMq5aUiEa,3116,band fixed back underhand pulldown,lats,biceps,rhomboids,Attach the band to a sturdy anchor point above your head.,Stand facing the anchor point with your feet shoulder-width apart.,"Grasp the band with an underhand grip, hands slightly wider than shoulder-width apart.","Step back to create tension in the band, keeping your arms fully extended.",Engage your core and squeeze your shoulder blades together.,"Pull the band down towards your chest, leading with your elbows.",rear deltoids,"Pause for a moment at the bottom of the movement, feeling the contraction in your lats.",Slowly release the tension in the band and return to the starting position.,,Repeat for the desired number of repetitions.,,,,
shoulders,band,https://v2.exercisedb.io/image/Lnwg2eVOyiGGH1,0977,band front lateral raise,delts,traps,upper back,Stand with your feet shoulder-width apart and hold the band in front of your thighs with your palms facing down.,Keep your arms straight and lift the band up in front of you until your arms are parallel to the ground.,"Pause for a moment at the top, then slowly lower the band back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,,
shoulders,band,https://v2.exercisedb.io/image/jbfxRRc0JKrcCT,0978,band front raise,delts,triceps,upper back,Stand with your feet shoulder-width apart and hold the band in front of your thighs with your palms facing down.,Keep your arms straight and slowly raise them forward until they are parallel to the ground.,"Pause for a moment at the top, then slowly lower your arms back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,,
upper legs,band,https://v2.exercisedb.io/image/KdWV-YloMq0lm9,1408,band hip lift,glutes,hamstrings,quadriceps,Lie on your back with your knees bent and feet flat on the ground.,Place a resistance band just above your knees.,Engage your glutes and core muscles.,"Press your heels into the ground and lift your hips off the floor, squeezing your glutes at the top.","Pause for a moment at the top, then slowly lower your hips back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
waist,band,https://v2.exercisedb.io/image/56aCylySUzvGs1,0979,band horizontal pallof press,abs,obliques,glutes,Attach the band to a sturdy anchor point at waist height.,Stand perpendicular to the anchor point with your feet shoulder-width apart.,Grasp the band handle with both hands and step away from the anchor point to create tension in the band.,"Bring your hands to your chest, keeping your elbows bent and close to your body.",Engage your core and maintain a stable stance.,"Extend your arms straight out in front of you, pushing the band away from your body.",,"Hold the extended position for a few seconds, focusing on maintaining tension in your core.","Slowly bring your hands back to your chest, resisting the pull of the band.",,Repeat for the desired number of repetitions.,,,,
waist,band,https://v2.exercisedb.io/image/b1YfIUjoDdQK8u,0981,band jack knife sit-up,abs,hip flexors,,"Lie flat on your back with your legs straight and your arms extended overhead, holding the band.","Engage your abs and lift your legs and upper body simultaneously, bringing your hands towards your feet.","Pause for a moment at the top, then slowly lower your legs and upper body back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,,
back,band,https://v2.exercisedb.io/image/JQVOWrxtB2giPX,0983,band kneeling one arm pulldown,lats,biceps,rhomboids,Attach the band to a sturdy anchor point above your head.,"Kneel down and hold the band with one hand, palm facing down.","Extend your arm fully overhead, keeping your elbow slightly bent.","Engage your lat muscles and pull the band down towards your side, bringing your elbow towards your ribcage.","Pause for a moment at the bottom, then slowly release the tension and return to the starting position.","Repeat for the desired number of repetitions, then switch sides.",,,,,,,,,
waist,band,https://v2.exercisedb.io/image/Wdw0k2yOFiVj8G,0985,band kneeling twisting crunch,abs,obliques,,Attach the band to a sturdy anchor point at waist height.,"Kneel down facing away from the anchor point and hold the band with both hands, keeping your elbows bent and close to your sides.","Engage your abs and slowly twist your torso to one side, bringing your hands towards your opposite hip.","Pause for a moment, then slowly return to the starting position.",Repeat on the other side.,Continue alternating sides for the desired number of repetitions.,,,,,,,,,
upper legs,band,https://v2.exercisedb.io/image/jWZdVY1StuoGvO,0984,band lying hip internal rotation,glutes,hamstrings,quadriceps,Lie on your back with your legs straight and a resistance band looped around your feet.,"Bend your knees and bring them towards your chest, keeping your feet together.","Slowly rotate your knees outwards, away from each other, while keeping your feet together.","Pause for a moment at the end of the rotation, then slowly return to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
waist,band,https://v2.exercisedb.io/image/gHDAaME6JOJp6l,1002,band lying straight leg raise,abs,hip flexors,,Lie flat on your back with your legs straight and your feet together.,Place the band around the arches of your feet and hold the ends of the band with your hands.,"Engaging your abs, lift both legs off the ground until they are perpendicular to the floor.","Pause for a moment at the top, then slowly lower your legs back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,band,https://v2.exercisedb.io/image/FwI2FmWyR25JVQ,0986,band one arm overhead biceps curl,biceps,forearms,shoulders,Stand with your feet shoulder-width apart and place one end of the band under your foot.,"Hold the other end of the band with your arm fully extended overhead, palm facing forward.","Keeping your upper arm stationary, curl your forearm towards your shoulder, squeezing your biceps.","Pause for a moment at the top, then slowly lower your forearm back to the starting position.","Repeat for the desired number of repetitions, then switch arms.",,,,,,,,,,
upper legs,band,https://v2.exercisedb.io/image/R6UsFbw3QI464s,0987,band one arm single leg split squat,quads,glutes,hamstrings,Stand with your feet hip-width apart and place a resistance band around your ankles.,Extend one leg forward and rest the top of your foot on a bench or step behind you.,Hold onto a support with one hand for balance.,"Bend your standing leg and lower your body down into a squat position, keeping your knee in line with your toes.",Push through your heel to return to the starting position.,"Repeat for the desired number of repetitions, then switch legs.",,,,,,,,,
